open;high;low;close;volume;marketCap;timestamp
2.831619978;3.5366098881;2.5211200714;2.7721199989;164329;166610555.018;"2015-08-07T00:00:00.000Z"
0.7139890194;0.7298539877;0.6365460157;0.7084479928;405283;42818364.3945;"2015-08-10T00:00:00.000Z"
1.8109200001;2.261879921;1.7547500134;1.8278700113;4637030;110672321.811;"2015-08-14T00:00:00.000Z"
1.215299964;1.3311599493;1.0870499611;1.0870499611;1485680;78868413.078;"2015-08-18T00:00:00.000Z"
1.3962899446;1.4764100313;1.3526799679;1.3792300224;948310;100201825.662;"2015-08-22T00:00:00.000Z"
1.1327899694;1.2024799585;1.0618300438;1.1599800587;1056750;84390923.5384;"2015-08-26T00:00:00.000Z"
1.1829899549;1.3679900169;1.170609951;1.3192700148;1337650;96097349.1063;"2015-08-30T00:00:00.000Z"
1.2951899767;1.3099900484;1.2110300064;1.2649300098;702991;92234142.4838;"2015-09-03T00:00:00.000Z"
1.2958999872;1.3054800034;1.2378499508;1.2466499805;489014;91020734.5517;"2015-09-07T00:00:00.000Z"
1.1649700403;1.1690700054;0.9406750202;0.9829779863;1942600;71868264.5796;"2015-09-11T00:00:00.000Z"
0.8751890063;1.0455399752;0.8751890063;0.9444100261;703390;69141408.7519;"2015-09-15T00:00:00.000Z"
0.8496029973;0.9118829966;0.8337839842;0.882390976;386988;64687991.9997;"2015-09-19T00:00:00.000Z"
0.9193369746;0.9193369746;0.8652250171;0.9017959833;487914;66180153.1012;"2015-09-22T00:00:00.000Z"
0.7376300097;0.7875440121;0.7093279958;0.7859640121;369620;57759115.3858;"2015-09-26T00:00:00.000Z"
0.6611919999;0.746721983;0.6358609796;0.7386440039;619926;54351468.2396;"2015-09-30T00:00:00.000Z"
0.6863430142;0.6931260228;0.6607159972;0.6683790088;103497;49249082.5282;"2015-10-04T00:00:00.000Z"
0.6095010042;0.633138001;0.5919709802;0.6217160225;310266;45872836.6492;"2015-10-08T00:00:00.000Z"
0.6345149875;0.6577889919;0.6260300279;0.6260300279;109567;46253823.0733;"2015-10-12T00:00:00.000Z"
0.5625929832;0.5688610077;0.5225329995;0.5364949703;249891;39691829.0675;"2015-10-16T00:00:00.000Z"
0.4896290004;0.5018979907;0.4316479862;0.4348289967;383921;32213626.1748;"2015-10-20T00:00:00.000Z"
0.5396810174;0.5773959756;0.5186880231;0.5635899901;258356;41809763.8084;"2015-10-24T00:00:00.000Z"
0.8709380031;1.0557899475;0.807856977;1.0024800301;2373050;74469863.8755;"2015-10-28T00:00:00.000Z"
