Timestamp,Open,High,Low,Close,Volume
1686162480000,1850.73,1852.5,1850.73,1852.5,314.5697
1686162540000,1852.5,1852.5,1851.14,1851.14,184.1598
1686162600000,1851.14,1851.6,1851.14,1851.59,82.999
1686162660000,1851.59,1852.0,1851.59,1852.0,58.3426
1686162720000,1852.0,1852.0,1851.26,1851.27,68.4925
1686162780000,1851.27,1851.32,1850.73,1850.73,152.0239
1686162840000,1850.73,1851.21,1850.73,1851.2,44.0836
1686162900000,1851.2,1851.86,1850.13,1850.14,168.6343
1686162960000,1850.13,1851.85,1850.13,1851.84,208.2181
1686163020000,1851.84,1852.28,1851.58,1852.16,56.5327
1686163080000,1852.15,1852.34,1851.97,1851.98,81.023
1686163140000,1851.98,1851.98,1851.19,1851.37,118.5566
1686163200000,1851.37,1851.38,1851.37,1851.38,17.9567
1686163260000,1851.37,1851.38,1850.5,1850.51,97.849
1686163320000,1850.5,1850.88,1850.26,1850.26,85.9904
1686163380000,1850.26,1850.27,1849.44,1849.44,69.0976
1686163440000,1849.44,1849.5,1849.07,1849.49,230.6533
1686163500000,1849.5,1849.58,1848.52,1848.52,105.1335
1686163560000,1848.52,1849.0,1848.52,1849.0,104.8721
1686163620000,1848.99,1849.0,1848.27,1848.85,284.1649
1686163680000,1848.86,1848.96,1848.38,1848.39,65.5873
1686163740000,1848.39,1848.45,1848.05,1848.45,79.6991
1686163800000,1848.45,1848.63,1848.44,1848.62,94.0289
1686163860000,1848.62,1848.98,1848.51,1848.51,137.0311
1686163920000,1848.51,1849.07,1848.51,1849.07,32.477
1686163980000,1849.06,1849.36,1849.06,1849.09,34.842
1686164040000,1849.1,1849.47,1849.09,1849.47,50.6639
1686164100000,1849.46,1849.76,1849.46,1849.75,17.643
1686164160000,1849.76,1849.76,1848.44,1848.45,53.5458
1686164220000,1848.45,1848.93,1848.44,1848.93,97.6343
1686164280000,1848.93,1849.42,1848.92,1849.41,67.6154
1686164340000,1849.42,1849.48,1849.0,1849.48,111.8678
1686164400000,1849.47,1849.74,1849.42,1849.42,108.4559
1686164460000,1849.42,1849.43,1848.5,1848.5,124.1896
1686164520000,1848.51,1848.51,1847.36,1847.9,297.9476
1686164580000,1847.91,1848.55,1847.79,1848.55,94.3159
1686164640000,1848.55,1848.92,1848.54,1848.92,43.9849
